epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,1918.53,1.05796,0.71779,1.13165,0.80142,0.75943,0.81391,0.5185,1.30172,0.84961,1.29345,0.000238398,0.000238398,0.000238398
142,1931.9,1.05822,0.71469,1.12532,0.80754,0.7509,0.81097,0.51352,1.30109,0.85935,1.29709,0.000220243,0.000220243,0.000220243
143,1945.48,1.06244,0.71746,1.13514,0.8166,0.74609,0.81002,0.5153,1.29834,0.85391,1.29798,0.000202976,0.000202976,0.000202976
144,1959.09,1.07262,0.72769,1.14015,0.81835,0.75269,0.81795,0.51699,1.2975,0.84615,1.29199,0.000186605,0.000186605,0.000186605
145,1972.56,1.06195,0.7191,1.13123,0.82077,0.74373,0.81221,0.51522,1.30069,0.84781,1.297,0.000171135,0.000171135,0.000171135
146,1985.99,1.049,0.70937,1.12393,0.82039,0.75179,0.8151,0.51733,1.29207,0.84566,1.28983,0.000156573,0.000156573,0.000156573
147,1999.54,1.06312,0.71075,1.12774,0.8146,0.75199,0.81319,0.51716,1.29712,0.84799,1.29502,0.000142923,0.000142923,0.000142923
148,2013.06,1.04991,0.70255,1.12462,0.82178,0.74462,0.81406,0.51797,1.29405,0.84832,1.2927,0.000130192,0.000130192,0.000130192
149,2026.27,1.06284,0.71384,1.12944,0.82063,0.7502,0.81319,0.51733,1.29092,0.84656,1.28901,0.000118384,0.000118384,0.000118384
150,2039.5,1.0602,0.7121,1.12829,0.81537,0.74731,0.81374,0.51977,1.28564,0.84113,1.29042,0.000107504,0.000107504,0.000107504
151,2054.41,0.99038,0.63919,1.08843,0.81412,0.74014,0.81054,0.51344,1.29919,0.8552,1.30067,9.75564e-05,9.75564e-05,9.75564e-05
152,2068.2,0.99113,0.62499,1.08061,0.81458,0.74731,0.81049,0.51418,1.29691,0.85806,1.30105,8.85442e-05,8.85442e-05,8.85442e-05
153,2081.93,0.98432,0.62142,1.08181,0.8173,0.74462,0.81148,0.51473,1.29909,0.85536,1.29949,8.04714e-05,8.04714e-05,8.04714e-05
154,2095.37,0.983,0.61296,1.07857,0.81634,0.74821,0.81086,0.51604,1.29529,0.85775,1.2986,7.33409e-05,7.33409e-05,7.33409e-05
155,2108.55,0.98753,0.61888,1.07976,0.79922,0.75717,0.81029,0.51552,1.30086,0.85465,1.30011,6.71556e-05,6.71556e-05,6.71556e-05
156,2121.71,0.98396,0.61839,1.08,0.81013,0.74934,0.81053,0.51636,1.30384,0.8532,1.30426,6.19178e-05,6.19178e-05,6.19178e-05
157,2134.95,0.9822,0.61525,1.07718,0.81472,0.74014,0.8107,0.51583,1.30249,0.85633,1.30182,5.76296e-05,5.76296e-05,5.76296e-05
158,2148.18,0.98888,0.626,1.08046,0.80026,0.7575,0.8111,0.51517,1.30241,0.85372,1.30173,5.42926e-05,5.42926e-05,5.42926e-05
159,2161.5,0.98834,0.61314,1.07613,0.79939,0.75538,0.8105,0.51707,1.29811,0.85451,1.30039,5.19081e-05,5.19081e-05,5.19081e-05
160,2174.8,0.98022,0.616,1.07864,0.80115,0.75448,0.8101,0.51697,1.29755,0.85688,1.30062,5.04771e-05,5.04771e-05,5.04771e-05
